event_key,ticker,company_name,owner_name,title,trade_date,transaction_date,snapshot_timestamp,snapshot_date,snapshot_kind,snapshot_day_idx,snapshot_price,days_remaining_in_10d_cycle,return_since_first_snapshot_pct,max_intraday_runup_so_far_pct,lookahead_days_used,label_end_date,hit_8pct_intraday_next3d,prob_HGB,prob_XGBoost,prob_ElasticNet,prob_SplineElasticNet,prob_ensemble_raw,prob_ensemble_calibrated,prob_metadata_baseline,prob_global_base_rate
EMYB|2024-08-27,EMYB,"Embassy Bancorp, Inc.",Lobach David M Jr,"COB, Pres, CEO",2024-08-27,2024-08-27 16:12:32,2024-08-28 09:30:00,2024-08-28,open,0,15.0,9,0.0,42.667333333333325,3,2024-09-05,0,0.0008869144365901491,0.06819096952676773,0.037471979193935356,0.03271798783583872,0.03481696274828299,0.05589954984830853,0.1688351446667256,0.10439814814814814
EMYB|2024-08-27,EMYB,"Embassy Bancorp, Inc.",Lobach David M Jr,"COB, Pres, CEO",2024-08-27,2024-08-27 16:12:32,2024-08-28 16:00:00,2024-08-28,close,1,15.0,8,0.0,42.667333333333325,3,2024-09-06,0,0.0008394725392154939,0.06819096952676773,0.031836006305839,0.024459354468276143,0.03133145071002459,0.05519682451574462,0.07693904037701302,0.10439814814814814
EMYB|2024-08-27,EMYB,"Embassy Bancorp, Inc.",Lobach David M Jr,"COB, Pres, CEO",2024-08-27,2024-08-27 16:12:32,2024-08-29 16:00:00,2024-08-29,close,2,15.5,7,3.3333333333333437,42.667333333333325,3,2024-09-09,0,0.01812885419441735,0.07678044587373734,0.044338167886291746,0.03536424450216516,0.043652928114152896,0.0577188825622635,0.07693904037701302,0.10439814814814814
JANL|2024-08-19,JANL,Janel Corp,Graves Gregory B,Dir,2024-08-19,2024-08-21 09:10:58,2024-08-29 16:00:00,2024-08-29,close,4,40.0,5,-4.761904761904767,47.61904761904763,3,2024-09-05,0,0.04714947703216392,0.13196541368961334,0.1105872730189549,0.08685723039961274,0.09413984853508624,0.06922238592770416,0.08270166360317517,0.10439814814814814
JANL|2024-08-19,JANL,Janel Corp,Graves Gregory B,Dir,2024-08-19,2024-08-21 09:10:58,2024-08-30 16:00:00,2024-08-30,close,5,40.0,4,-4.761904761904767,47.61904761904763,3,2024-09-19,0,0.023767975238356838,0.11238452792167664,0.08422307234238284,0.052735891396870155,0.06827786672482161,0.06308646929541678,0.08270166360317517,0.10439814814814814
FRAF|2024-09-04,FRAF,Franklin Financial Services Corp /pa/,Duffey Gregory A,Dir,2024-09-04,2024-09-06 09:49:58,2024-09-06 16:00:00,2024-09-06,close,0,32.2,9,0.0,13.50931677018632,3,2024-09-11,0,0.009195289830241447,0.06761004030704498,0.03608134847937962,0.02280929138183763,0.033923992499625924,0.055718717340352,0.03964274344768869,0.10439814814814814
EMYB|2024-08-27,EMYB,"Embassy Bancorp, Inc.",Lobach David M Jr,"COB, Pres, CEO",2024-08-27,2024-08-27 16:12:32,2024-09-09 16:00:00,2024-09-09,close,5,15.49,4,3.266666666666662,42.667333333333325,3,2024-09-18,0,0.0013516639901348135,0.07074761390686035,0.029340835053437122,0.02238898406235569,0.030957274253196995,0.055121881886128196,0.07693904037701302,0.10439814814814814
EMYB|2024-09-06,EMYB,"Embassy Bancorp, Inc.",Lobach David M Jr,"COB, Pres, CEO",2024-09-06,2024-09-06 15:08:58,2024-09-09 16:00:00,2024-09-09,close,1,15.49,8,0.5844155844155763,38.96168831168829,3,2024-09-18,0,0.001679470041431914,0.06654608249664307,0.0396401209455958,0.02834096809935012,0.034051660395755225,0.05574453718715952,0.07707293053127118,0.10439814814814814
FRAF|2024-09-04,FRAF,Franklin Financial Services Corp /pa/,Duffey Gregory A,Dir,2024-09-04,2024-09-06 09:49:58,2024-09-09 16:00:00,2024-09-09,close,1,32.14,8,-0.18633540372671176,13.50931677018632,3,2024-09-12,0,0.00049999539604029,0.06632641702890396,0.0326238328028158,0.01925946321708585,0.029677427111211477,0.054866269084734735,0.03964274344768869,0.10439814814814814
MERC|2024-09-06,MERC,Mercer International Inc.,Short Richard George,"CFO, SECRETARY",2024-09-06,2024-09-06 17:45:25,2024-09-09 09:30:00,2024-09-09,open,0,5.59,9,0.0,224.50805008944545,3,2024-09-11,1,0.25119293209021515,0.3068850040435791,0.3188720480207212,0.4310849745027888,0.3270087396643261,0.15397328439529753,0.16845136267652147,0.10439814814814814
